nodes,NR,NW,clients,read_s,write_s
8,4,8,1,0.09,0.12
8,4,8,2,0.09,0.12
8,4,8,3,0.09,0.13
8,4,8,4,0.1,0.13
8,4,8,5,0.1,0.14
8,4,8,6,0.11,0.13
8,4,8,7,0.11,0.14
8,4,8,8,0.11,0.14
8,4,8,9,0.11,0.15
8,4,8,10,0.11,0.15
8,5,5,1,0.09,0.12
8,5,5,2,0.1,0.12
8,5,5,3,0.1,0.12
8,5,5,4,0.11,0.12
8,5,5,5,0.11,0.12
8,5,5,6,0.11,0.13
8,5,5,7,0.11,0.13
8,5,5,8,0.11,0.12
8,5,5,9,0.11,0.13
8,5,5,10,0.12,0.13
8,5,6,1,0.09,0.12
8,5,6,2,0.1,0.12
8,5,6,3,0.1,0.12
8,5,6,4,0.1,0.12
8,5,6,5,0.1,0.13
8,5,6,6,0.11,0.12
8,5,6,7,0.11,0.13
8,5,6,8,0.11,0.13
8,5,6,9,0.12,0.13
8,5,6,10,0.12,0.14
8,5,7,1,0.09,0.12
8,5,7,2,0.09,0.12
8,5,7,3,0.1,0.13
8,5,7,4,0.1,0.13
8,5,7,5,0.1,0.13
8,5,7,6,0.1,0.14
8,5,7,7,0.11,0.14
8,5,7,8,0.11,0.14
8,5,7,9,0.11,0.14
8,5,7,10,0.11,0.14
8,5,8,1,0.09,0.13
8,5,8,2,0.1,0.13
8,5,8,3,0.1,0.14
8,5,8,4,0.1,0.13
8,5,8,5,0.11,0.14
8,5,8,6,0.11,0.15
8,5,8,7,0.11,0.15
8,5,8,8,0.11,0.14
8,5,8,9,0.11,0.15
8,5,8,10,0.11,0.15
8,6,5,1,0.09,0.11
8,6,5,2,0.1,0.11
8,6,5,3,0.1,0.12
8,6,5,4,0.11,0.12
8,6,5,5,0.11,0.12
8,6,5,6,0.11,0.12
8,6,5,7,0.11,0.12
8,6,5,8,0.11,0.13
8,6,5,9,0.12,0.13
8,6,5,10,0.12,0.13
8,6,6,1,0.09,0.12
8,6,6,2,0.1,0.12
8,6,6,3,0.1,0.12
8,6,6,4,0.11,0.12
8,6,6,5,0.1,0.12
8,6,6,6,0.11,0.13
8,6,6,7,0.11,0.13
8,6,6,8,0.11,0.13
8,6,6,9,0.12,0.14
8,6,6,10,0.12,0.14
8,6,7,1,0.09,0.12
8,6,7,2,0.1,0.13
8,6,7,3,0.1,0.13
8,6,7,4,0.1,0.13
8,6,7,5,0.11,0.13
8,6,7,6,0.11,0.13
8,6,7,7,0.11,0.14
8,6,7,8,0.12,0.14
8,6,7,9,0.12,0.14
8,6,7,10,0.12,0.15
8,6,8,1,0.09,0.13
8,6,8,2,0.1,0.13
8,6,8,3,0.1,0.13
8,6,8,4,0.1,0.13
8,6,8,5,0.11,0.14
8,6,8,6,0.11,0.16
8,6,8,7,0.12,0.14
8,6,8,8,0.12,0.15
8,6,8,9,0.11,0.16
